cbsa_code,cbsa_name,metro_micro,city_name,state_fips,place_fips
13380,"Bellingham, WA",metropolitan,Bellingham,53,5280
13420,"Bemidji, MN",micropolitan,Bemidji,27,5068
13460,"Bend-Redmond, OR",metropolitan,Bend,41,5800
13460,"Bend-Redmond, OR",metropolitan,Redmond,41,61200
13500,"Bennettsville, SC",micropolitan,Bennettsville,45,5680
13540,"Bennington, VT",micropolitan,Bennington,50,4750
13620,"Berlin, NH-VT",micropolitan,Berlin,33,5140
13660,"Big Rapids, MI",micropolitan,Big Rapids,26,8300
13700,"Big Spring, TX",micropolitan,Big Spring,48,8236
13720,"Big Stone Gap, VA",micropolitan,Big Stone Gap,51,7480
13740,"Billings, MT",metropolitan,Billings,30,6550
13780,"Binghamton, NY",metropolitan,Binghamton,36,6607
13820,"Birmingham-Hoover, AL",metropolitan,Birmingham,1,7000
13820,"Birmingham-Hoover, AL",metropolitan,Hoover,1,35896
13900,"Bismarck, ND",metropolitan,Bismarck,38,7200
13940,"Blackfoot, ID",micropolitan,Blackfoot,16,7840
13980,"Blacksburg-Christiansburg-Radford, VA",metropolitan,Blacksburg,51,7784
13980,"Blacksburg-Christiansburg-Radford, VA",metropolitan,Christiansburg,51,16608
13980,"Blacksburg-Christiansburg-Radford, VA",metropolitan,Radford,51,65392
14010,"Bloomington, IL",metropolitan,Bloomington,17,6613
14020,"Bloomington, IN",metropolitan,Bloomington,18,5860
14100,"Bloomsburg-Berwick, PA",metropolitan,Berwick,42,5888
14100,"Bloomsburg-Berwick, PA",metropolitan,Bloomsburg,42,7128
14140,"Bluefield, WV-VA",micropolitan,Bluefield,54,8524
14180,"Blytheville, AR",micropolitan,Blytheville,5,7330
14220,"Bogalusa, LA",micropolitan,Bogalusa,22,8150
14260,"Boise City, ID",metropolitan,Boise City,16,8830
14340,"Boone, IA",micropolitan,Boone,19,7480
14380,"Boone, NC",micropolitan,Boone,37,7080
14420,"Borger, TX",micropolitan,Borger,48,9556
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Boston,25,7000
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Cambridge,25,11000
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Framingham,25,24960
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Newton,25,45560
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Waltham,25,72600
14500,"Boulder, CO",metropolitan,Boulder,8,7850
14540,"Bowling Green, KY",metropolitan,Bowling Green,21,8902
14580,"Bozeman, MT",micropolitan,Bozeman,30,8950
14620,"Bradford, PA",micropolitan,Bradford,42,8040
14660,"Brainerd, MN",micropolitan,Brainerd,27,7300
14700,"Branson, MO",micropolitan,Branson,29,7966
14720,"Breckenridge, CO",micropolitan,Breckenridge,8,8400
14740,"Bremerton-Silverdale, WA",metropolitan,Bremerton,53,7695
14740,"Bremerton-Silverdale, WA",metropolitan,Silverdale,53,64365
14780,"Brenham, TX",micropolitan,Brenham,48,10156
14820,"Brevard, NC",micropolitan,Brevard,37,7720
14860,"Bridgeport-Stamford-Norwalk, CT",metropolitan,Bridgeport,9,8000
14860,"Bridgeport-Stamford-Norwalk, CT",metropolitan,Danbury,9,18430
14860,"Bridgeport-Stamford-Norwalk, CT",metropolitan,Norwalk,9,55990
14860,"Bridgeport-Stamford-Norwalk, CT",metropolitan,Stamford,9,73000
14860,"Bridgeport-Stamford-Norwalk, CT",metropolitan,Stratford,9,74260
15020,"Brookhaven, MS",micropolitan,Brookhaven,28,8820
15060,"Brookings, OR",micropolitan,Brookings,41,8650
15100,"Brookings, SD",micropolitan,Brookings,46,7580
15180,"Brownsville-Harlingen, TX",metropolitan,Brownsville,48,10768
15180,"Brownsville-Harlingen, TX",metropolitan,Harlingen,48,32372
15220,"Brownwood, TX",micropolitan,Brownwood,48,10780
15260,"Brunswick, GA",metropolitan,Brunswick,13,11560
15340,"Bucyrus, OH",micropolitan,Bucyrus,39,10030
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",metropolitan,Buffalo,36,11000
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",metropolitan,Cheektowaga,36,15000
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",metropolitan,Niagara Falls,36,51055
15420,"Burley, ID",micropolitan,Burley,16,11260
15460,"Burlington, IA-IL",micropolitan,Burlington,19,9550
15500,"Burlington, NC",metropolitan,Burlington,37,9060
15540,"Burlington-South Burlington, VT",metropolitan,Burlington,50,10675
15540,"Burlington-South Burlington, VT",metropolitan,South Burlington,50,66175
15580,"Butte-Silver Bow, MT",micropolitan,Butte-Silver Bow (balance),30,11397
15620,"Cadillac, MI",micropolitan,Cadillac,26,12320
15660,"Calhoun, GA",micropolitan,Calhoun,13,12456
15680,"California-Lexington Park, MD",metropolitan,California,24,12150
15680,"California-Lexington Park, MD",metropolitan,Lexington Park,24,46725
15700,"Cambridge, MD",micropolitan,Cambridge,24,12400
15740,"Cambridge, OH",micropolitan,Cambridge,39,10996
15780,"Camden, AR",micropolitan,Camden,5,10720
15820,"Campbellsville, KY",micropolitan,Campbellsville,21,12160
15860,"Cañon City, CO",micropolitan,Cañon City,8,11810
15900,"Canton, IL",micropolitan,Canton,17,11007
15940,"Canton-Massillon, OH",metropolitan,Canton,39,12000
15940,"Canton-Massillon, OH",metropolitan,Massillon,39,48244
15980,"Cape Coral-Fort Myers, FL",metropolitan,Cape Coral,12,10275
15980,"Cape Coral-Fort Myers, FL",metropolitan,Fort Myers,12,24125
16020,"Cape Girardeau, MO-IL",metropolitan,Cape Girardeau,29,11242
16060,"Carbondale-Marion, IL",metropolitan,Carbondale,17,11163
16060,"Carbondale-Marion, IL",metropolitan,Marion,17,46916
16100,"Carlsbad-Artesia, NM",micropolitan,Artesia,35,5220
16100,"Carlsbad-Artesia, NM",micropolitan,Carlsbad,35,12150
16180,"Carson City, NV",metropolitan,Carson City,32,9700
16220,"Casper, WY",metropolitan,Casper,56,13150
16260,"Cedar City, UT",micropolitan,Cedar City,49,11320
16300,"Cedar Rapids, IA",metropolitan,Cedar Rapids,19,12000
16340,"Cedartown, GA",micropolitan,Cedartown,13,14500
16380,"Celina, OH",micropolitan,Celina,39,12868
16460,"Centralia, IL",micropolitan,Centralia,17,12164
16500,"Centralia, WA",micropolitan,Centralia,53,11160
16540,"Chambersburg-Waynesboro, PA",metropolitan,Chambersburg,42,12536
16540,"Chambersburg-Waynesboro, PA",metropolitan,Waynesboro,42,81824
16580,"Champaign-Urbana, IL",metropolitan,Champaign,17,12385
16580,"Champaign-Urbana, IL",metropolitan,Urbana,17,77005
16620,"Charleston, WV",metropolitan,Charleston,54,14600
16660,"Charleston-Mattoon, IL",micropolitan,Charleston,17,12567
16660,"Charleston-Mattoon, IL",micropolitan,Mattoon,17,47553
16700,"Charleston-North Charleston, SC",metropolitan,Charleston,45,13330
16700,"Charleston-North Charleston, SC",metropolitan,North Charleston,45,50875
16740,"Charlotte-Concord-Gastonia, NC-SC",metropolitan,Charlotte,37,12000
16740,"Charlotte-Concord-Gastonia, NC-SC",metropolitan,Concord,37,14100
16740,"Charlotte-Concord-Gastonia, NC-SC",metropolitan,Gastonia,37,25580
16740,"Charlotte-Concord-Gastonia, NC-SC",metropolitan,Rock Hill,45,61405
16820,"Charlottesville, VA",metropolitan,Charlottesville,51,14968
16860,"Chattanooga, TN-GA",metropolitan,Chattanooga,47,14000
16940,"Cheyenne, WY",metropolitan,Cheyenne,56,13900
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Arlington Heights,17,2154
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Chicago,17,14000
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Des Plaines,17,19642
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Elgin,17,23074
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Evanston,17,24582
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Hoffman Estates,17,35411
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Naperville,17,51622
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Schaumburg,17,68003
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Skokie,17,70122
16980,"Chicago-Naperville-Elgin, IL-IN-WI",metropolitan,Gary,18,27000
17020,"Chico, CA",metropolitan,Chico,6,13014
17060,"Chillicothe, OH",micropolitan,Chillicothe,39,14184
17140,"Cincinnati, OH-KY-IN",metropolitan,Cincinnati,39,15000
17200,"Claremont-Lebanon, NH-VT",micropolitan,Claremont,33,12900
17200,"Claremont-Lebanon, NH-VT",micropolitan,Lebanon,33,41300
17220,"Clarksburg, WV",micropolitan,Clarksburg,54,15628
17260,"Clarksdale, MS",micropolitan,Clarksdale,28,13820
17300,"Clarksville, TN-KY",metropolitan,Clarksville,47,15160
17340,"Clearlake, CA",micropolitan,Clearlake,6,13945
17380,"Cleveland, MS",micropolitan,Cleveland,28,14260
17420,"Cleveland, TN",metropolitan,Cleveland,47,15400
17460,"Cleveland-Elyria, OH",metropolitan,Cleveland,39,16000
17460,"Cleveland-Elyria, OH",metropolitan,Elyria,39,25256
